id,topic
121,culture
121,design
121,energy
121,transportation
122,collaboration
122,creativity
122,culture
122,design
122,museums
122,philanthropy
122,water
122,science and art
123,business
123,cities
123,culture
123,future
123,global issues
123,poverty
123,technology
123,urban planning
125,AI
125,brain
125,cognitive science
125,computers
125,intelligence
125,memory
125,science
125,technology
126,animals
126,biodiversity
126,climate change
126,environment
126,fish
126,global issues
126,oceans
126,science
126,technology
126,marine biology
127,business
127,corruption
127,global issues
127,investment
127,women
127,women in business
128,climate change
128,environment
128,global issues
128,green
128,investment
128,sustainability
128,technology
129,collaboration
129,demo
129,microsoft
129,photography
129,software
129,technology
129,visualizations
129,virtual reality
130,Buddhism
130,God
130,culture
130,global issues
130,happiness
130,peace
130,religion
131,demo
131,interface design
131,software
131,technology
139,design
139,map
139,microsoft
139,technology
139,virtual reality
140,Africa
140,Asia
140,Google
140,economics
140,global issues
140,health
140,inequality
140,statistics
140,visualizations
140,global development
140,poverty
141,Moon
141,NASA
141,Planets
141,adventure
141,energy
141,exploration
141,mining
141,space
141,technology
142,cancer
142,design
142,health
142,health care
142,medicine
142,technology
142,bioethics
143,AIDS
143,Africa
143,economics
143,global issues
143,health
143,science
143,statistics
143,HIV
144,design
144,entertainment
144,global issues
144,software
144,technology
145,ants
145,biology
145,collaboration
145,design
145,insects
145,science
146,demo
146,design
146,entertainment
146,gaming
146,technology
147,design
147,entertainment
147,film
147,health
147,medicine
147,science
147,technology
147,visualizations
147,animation
148,entertainment
148,poetry
148,spoken word
149,culture
149,health care
149,marketing
149,medicine
151,Africa
151,business
151,economics
151,entrepreneur
151,global issues
151,philanthropy
151,corruption
151,global development
152,economics
152,entrepreneur
152,global issues
152,health care
152,investment
152,philanthropy
152,women
152,women in business
152,global development
152,Africa
152,business
153,Africa
153,alternative energy
153,design
153,energy
153,global issues
153,interview
153,library
153,technology
154,Africa
154,business
154,entrepreneur
154,global issues
154,investment
155,Africa
155,culture
155,entertainment
155,global issues
155,literature
155,poetry
155,storytelling
156,Africa
156,culture
156,education
156,global issues
156,leadership
156,social change
157,business
157,global issues
157,investment
157,medicine
157,philanthropy
157,poverty
157,women
157,women in business
157,global development
157,markets
158,Africa
158,activism
158,entertainment
158,live music
158,music
158,singer
158,women
159,Africa
159,business
159,global issues
159,investment
159,philanthropy
159,technology
159,global development
161,culture
161,education
161,entertainment
161,language
161,books
162,animals
162,art
162,biomechanics
162,creativity
162,demo
162,design
162,entertainment
162,technology
162,science and art
163,business
163,culture
163,global issues
163,media
163,sociology
163,violence
163,war
164,culture
164,language
164,psychology
164,Social Science
165,AI
165,cognitive science
165,demo
165,design
165,evolution
165,robots
165,technology
167,climate change
167,future
167,global issues
167,humanity
167,space
167,technology
167,solar system
167,science
167,asteroid
168,Africa
168,anthropology
168,exploration
168,global issues
168,human origins
168,humanity
168,paleontology
168,science
170,business
170,entertainment
170,film
170,global issues
170,philanthropy
170,social change
170,movies
171,entertainment
171,film
171,global issues
171,storytelling
171,technology
171,war
172,art
172,design
172,simplicity
172,technology
174,architecture
174,cities
174,green
174,Best of the Web
175,children
175,cities
175,culture
175,education
175,global issues
175,teaching
175,Best of the Web
176,alternative energy
176,business
176,design
176,drones
176,energy
176,flight
176,invention
176,technology
176,solar energy
177,climate change
177,culture
177,global issues
177,health
177,peace
177,Best of the Web
178,NASA
178,Planets
178,design
178,exploration
178,science
178,space
178,technology
178,universe
178,visualizations
178,solar system
179,culture
179,dance
179,entertainment
179,performance
181,aircraft
181,business
181,entertainment
181,entrepreneur
181,global issues
181,interview
181,music
181,space
181,technology
182,art
182,children
182,culture
182,design
182,entertainment
182,happiness
183,DNA
183,MacArthur grant
183,complexity
183,computers
183,science
184,brain
184,consciousness
184,culture
184,illness
184,illusion
184,science
184,technology
185,business
185,economics
185,food
185,global issues
185,technology
185,women in business
185,markets
187,business
187,creativity
187,entertainment
187,law
187,technology
188,culture
188,entertainment
188,guitar
188,music
188,singer
188,technology
188,live music
188,performance
189,brain
189,depression
189,health care
189,illness
189,medicine
189,mental health
189,science
189,suicide
189,technology
190,cities
190,communication
190,culture
190,design
190,global issues
190,technology
190,telecom
191,Buddhism
191,God
191,brain
191,culture
191,faith
191,global issues
191,happiness
191,peace
191,photography
191,religion
191,psychology
191,evolutionary psychology
191,emotions
191,mindfulness
192,business
192,china
192,climate change
192,engineering
192,global issues
192,science
192,technology
193,biodiversity
193,biotech
193,business
193,energy
193,science
193,technology
194,String theory
194,physics
194,science
194,storytelling
194,technology
195,design
195,evolution
195,robots
195,science
195,technology
196,entertainment
196,humor
196,music
196,technology
197,design
197,humanity
197,humor
197,philosophy
197,storytelling
198,Africa
198,architecture
198,culture
198,design
198,math
198,technology
199,education
199,entertainment
199,magic
199,math
199,performance
200,brain
200,community
200,compassion
200,empathy
200,psychology
201,communication
201,community
201,parenting
201,relationships
201,writing
202,children
202,design
202,entertainment
202,parenting
202,play
202,sports
202,technology
203,comedy
203,humor
204,entertainment
204,global issues
204,love
204,parenting
204,storytelling
204,women
204,world cultures
204,South America
205,entertainment
205,film
205,humor
205,storytelling
205,technology
205,movies
206,animals
206,evolution
206,exploration
206,fish
206,oceans
206,science
206,technology
206,marine biology
207,art
207,culture
207,design
207,museums
207,graphic design
208,culture
208,education
208,entertainment
208,library
208,literature
208,race
208,storytelling
209,MacArthur grant
209,activism
209,children
209,cities
209,culture
209,philanthropy
209,live music
210,art
210,culture
210,entertainment
210,photography
211,business
211,community
211,culture
211,global issues
211,philanthropy
211,philosophy
211,technology
212,business
212,cars
212,cities
212,technology
212,transportation
213,Brazil
213,cities
213,culture
213,design
213,green
213,humor
213,sustainability
213,transportation
213,infrastructure
213,South America
214,animals
214,bees
214,business
214,culture
214,evolution
214,food
214,garden
214,global issues
214,science
214,plants
214,ecology
215,MacArthur grant
215,ancient world
215,art
215,cities
215,communication
215,culture
215,design
215,humor
215,books
216,business
216,collaboration
216,communication
216,community
216,culture
216,global issues
216,humanity
216,wikipedia
217,activism
217,culture
217,global issues
217,spoken word
217,technology
217,violence
217,war
217,women
218,live music
218,music
218,performance
218,technology
219,architecture
219,cities
219,collaboration
219,creativity
219,design
219,museums
219,visualizations
220,Africa
220,collaboration
220,culture
220,global issues
220,politics
221,NASA
221,Planets
221,future
221,history
221,physics
221,rocket science
221,science
221,space
221,storytelling
221,technology
222,collaboration
222,entertainment
222,guitar
222,humor
222,singer
222,storytelling
222,comedy
223,collaboration
223,entertainment
223,humor
223,physics
224,astronomy
224,collaboration
224,demo
224,science
224,technology
224,universe
224,telescopes
225,children
225,design
225,entertainment
225,parenting
225,photography
225,rocket science
225,space
225,toy
227,alternative energy
227,creativity
227,energy
227,genetics
227,global issues
227,invention
227,science
227,technology
228,children
228,collaboration
228,computers
228,design
228,technology
229,biology
229,brain
229,consciousness
229,global issues
229,illness
229,science
230,demo
230,design
230,entertainment
230,future
230,interface design
230,media
230,technology
230,movies
231,architecture
231,collaboration
231,design
231,global issues
231,technology
232,Africa
232,TED Prize
232,education
232,math
232,physics
232,science
232,technology
233,TED Prize
233,activism
233,children
233,collaboration
233,culture
233,design
233,education
233,entertainment
233,global issues
233,writing
233,teaching
234,TED Prize
234,collaboration
234,faith
234,global issues
234,religion
235,art
235,demo
235,design
235,entertainment
235,history
235,technology
236,biology
236,brain
236,business
236,demo
236,medicine
236,science
236,technology
236,visualizations
237,culture
237,education
237,science
237,technology
237,web
239,education
239,history
239,math
239,science
239,space
239,technology
239,war
241,art
241,demo
241,design
241,entertainment
241,film
241,music
241,online video
241,visualizations
241,animation
242,String theory
242,evolution
242,math
242,physics
242,science
242,time
242,universe
243,activism
243,climate change
243,global issues
243,science
245,business
245,demo
245,design
245,education
245,entertainment
245,gaming
245,hack
245,technology
246,creativity
246,demo
246,design
246,entertainment
246,health care
246,live music
246,music
246,technology
246,writing
247,Google
247,business
247,collaboration
247,economics
247,law
247,social change
247,technology
247,wikipedia
248,Google
248,business
248,economics
248,entertainment
248,global issues
248,media
248,news
249,Africa
249,activism
249,global issues
249,health
249,health care
249,heart health
249,public health
249,science
249,global development
250,culture
250,entertainment
250,storytelling
250,writing
251,String theory
251,physics
251,science
251,universe
252,aging
252,genetics
252,health
252,health care
252,medicine
252,science
253,String theory
253,big bang
253,education
253,physics
253,science
253,technology
253,quantum physics
254,entertainment
254,humor
254,music
254,live music
254,performance
255,Africa
255,education
255,global issues
255,philanthropy
255,technology
258,biology
258,design
258,food
258,global issues
258,pollution
258,science
258,technology
258,fungi
259,bacteria
259,biology
259,disease
259,evolution
259,global issues
259,health
259,illness
259,medicine
259,microbiology
259,science
260,MacArthur grant
260,dance
260,entertainment
260,math
260,music
260,physics
260,sports
261,animals
261,design
261,hack
261,intelligence
261,interface design
261,technology
263,environment
263,food
263,green
263,obesity
263,sustainability
263,Best of the Web
264,adventure
264,animals
264,biodiversity
264,education
264,exploration
264,fish
264,oceans
264,science
264,submarine
266,business
266,computers
266,creativity
266,design
266,sex
266,society
267,art
267,design
267,engineering
267,entertainment
267,humor
267,philosophy
268,activism
268,design
268,health
268,health care
268,invention
268,public health
268,technology
269,brain
269,culture
269,design
269,evolution
269,meme
269,technology
270,Africa
270,activism
270,business
270,economics
270,global issues
270,politics
270,poverty
270,global development
270,inequality
271,animals
271,dinosaurs
271,entertainment
271,exploration
271,fish
271,humor
271,photography
271,archaeology
272,children
272,crime
272,culture
272,education
272,evil
272,global issues
272,peace
272,prison
272,psychology
273,anthropology
273,beauty
273,culture
273,faith
273,global issues
273,photography
273,religion
273,indigenous peoples
274,business
274,cognitive science
274,collaboration
274,culture
274,social change
274,society
274,technology
276,culture
276,global issues
276,history
276,language
276,physics
278,computers
278,engineering
278,history
278,library
278,military
278,science
278,software
278,technology
279,art
279,beauty
279,business
279,culture
279,photography
279,plastic
279,statistics
280,animals
280,design
280,evolution
280,robots
280,science
280,technology
280,transportation
282,culture
282,film
282,library
282,personal growth
282,storytelling
282,movies
285,Vaccines
285,design
285,food
285,global issues
285,invention
285,medicine
285,technology
286,conducting
286,creativity
286,culture
286,entertainment
286,live music
286,music
286,performance
287,culture
287,entertainment
287,genetics
287,live music
287,piano
287,science
287,singer
288,activism
288,computers
288,design
288,technology
288,Best of the Web
292,business
292,flight
292,science
292,space
292,technology
292,universe
294,Africa
294,culture
294,entertainment
294,humanity
294,humor
294,literature
294,poetry
294,writing
296,entertainment
296,humor
296,love
296,music
296,piano
296,women
296,live music
296,performance
297,art
297,children
297,family
297,global issues
297,media
297,photography
297,storytelling
297,Best of the Web
298,entertainment
298,guitar
298,music
298,peace
298,singer
298,storytelling
298,performance
298,live music
299,Africa
299,activism
299,animals
299,biodiversity
299,trees
299,war
299,ecology
300,animals
300,biomechanics
300,demo
300,design
300,entertainment
300,gaming
300,technology
300,virtual reality
300,animation
301,culture
301,entertainment
301,humanity
301,humor
301,religion
301,writing
301,comedy
301,Best of the Web
306,Planets
306,astronomy
306,biotech
306,exploration
306,extraterrestrial life
306,physics
306,science
306,technology
306,universe
306,astrobiology
307,brain
307,cognitive science
307,culture
307,literature
307,love
307,poetry
307,psychology
307,relationships
307,science
307,technology
308,Christianity
308,God
308,death
308,faith
308,religion
308,technology
310,brain
310,entertainment
310,illusion
310,magic
312,brain
312,education
312,happiness
312,psychology
312,science
312,technology
312,personality
312,introvert
312,evolutionary psychology
312,emotions
313,Africa
313,art
313,business
313,design
315,Africa
315,ancient world
315,anthropology
315,apes
315,evolution
315,human origins
315,humanity
315,paleontology
315,science
316,art
316,culture
316,entertainment
316,global issues
316,happiness
316,software
316,storytelling
316,web
318,architecture
318,art
318,business
318,design
318,humor
319,communication
319,complexity
319,future
319,technology
319,web
319,Best of the Web
320,brain
320,complexity
320,computers
320,design
320,engineering
320,science
320,technology
320,visualizations
321,art
321,design
321,engineering
321,math
321,origami
321,space
322,cello
322,entertainment
322,music
322,origami
322,live music
323,Africa
323,DNA
323,anthropology
323,culture
323,evolution
323,genetics
323,race
323,science
323,diversity
323,indigenous peoples
324,animals
324,culture
324,design
324,entertainment
324,global issues
324,photography
324,storytelling
325,animals
325,entertainment
325,live music
325,music
325,piano
326,astronomy
326,big bang
326,dark matter
326,education
326,energy
326,physics
326,science
326,time
326,universe
326,telescopes
327,entertainment
327,humor
327,illusion
327,magic
328,animals
328,brain
328,children
328,psychology
328,Best of the Web
329,entertainment
329,live music
329,music
329,performance
329,piano
329,technology
329,Best of the Web
330,Africa
330,activism
330,global issues
330,identity
330,media
330,technology
331,DNA
331,MacArthur grant
331,creativity
331,nanoscale
331,physics
331,science
331,technology
333,education
333,illusion
333,media
333,science
333,technology
334,animals
334,education
334,entertainment
334,performance
335,business
335,design
335,exploration
335,science
335,space
335,technology
339,business
339,history
339,media
339,technology
339,telecom
339,television
339,Best of the Web
340,Africa
340,animals
340,biodiversity
340,environment
340,global issues
340,pollution
340,primates
340,science
341,brain
341,culture
341,evolution
341,global issues
341,morality
341,politics
341,psychology
341,evolutionary psychology
343,animals
343,geology
343,life
343,oceans
343,science
343,submarine
343,technology
343,marine biology
344,global issues
344,history
344,medicine
344,technology
344,war
345,animals
345,energy
345,entertainment
345,global issues
345,sex
345,transportation
346,design
346,entertainment
346,film
346,history
346,library
346,media
346,music
346,technology
346,web
346,books
346,Best of the Web
347,children
347,entertainment
347,memory
347,storytelling
348,children
348,economics
348,education
348,food
348,global issues
348,green
348,Best of the Web
349,communication
349,culture
349,happiness
349,parenting
350,children
350,design
350,dinosaurs
350,entertainment
350,happiness
350,invention
350,play
350,technology
350,toy
350,Best of the Web
351,brain
351,health
351,humanity
351,humor
351,science
351,technology
351,psychology
351,evolutionary psychology
353,business
353,invention
353,investment
353,presentation
353,technology
354,brain
354,children
354,culture
354,language
354,philosophy
354,psychology
354,science
354,books
355,AI
355,design
355,humanity
355,intelligence
355,robots
355,technology
356,art
356,design
356,education
356,happiness
356,humor
356,work
358,culture
358,democracy
358,global issues
358,politics
358,religion
358,social change
358,society
358,war
359,architecture
359,art
359,cities
359,design
359,theater
359,Best of the Web
360,TED Prize
360,communication
360,design
360,media
360,photography
360,technology
360,art
361,business
361,design
361,entertainment
361,gaming
361,technology
362,cities
362,communication
362,community
362,design
362,global issues
362,web
363,entertainment
363,history
363,politics
363,sports
363,storytelling
363,work-life balance
364,entertainment
364,humor
364,illusion
364,live music
364,music
364,performance
365,culture
365,environment
365,global issues
365,history
365,social change
365,society
365,technology
366,culture
366,global issues
366,happiness
366,music
366,psychology
366,work
371,physics
371,science
371,technology
372,art
372,brain
372,design
372,museums
372,graphic design
374,entertainment
374,extraterrestrial life
374,humor
374,love
374,physics
374,science
374,time
374,comedy
374,movies
375,beauty
375,business
375,culture
375,entertainment
375,illusion
375,marketing
375,performance
377,health
377,health care
377,medicine
377,science
379,demo
379,design
379,drones
379,flight
379,green
379,technology
379,transportation
379,solar energy
381,AIDS
381,Africa
381,activism
381,disease
381,global issues
381,health
381,media
381,photography
381,science
381,HIV
383,design
383,entertainment
383,humor
383,love
383,media
383,poetry
383,storytelling
385,business
385,creativity
385,design
385,industrial design
385,invention
385,materials
385,science
385,smell
385,technology
385,toy
386,Africa
386,creativity
386,culture
386,entertainment
386,film
386,global issues
386,war
388,business
388,design
388,exploration
388,invention
388,oceans
388,technology
388,global commons
390,culture
390,entertainment
390,media
390,social change
390,social media
390,technology
391,activism
391,environment
391,global issues
392,art
392,creativity
392,design
392,education
392,play
392,toy
392,Best of the Web
393,Senses
393,beauty
393,happiness
393,materials
393,science
393,smell
393,technology
394,String theory
394,community
394,global issues
394,physics
394,politics
394,science
394,social change
395,communication
395,global issues
395,morality
395,politics
395,terrorism
395,war
396,business
396,creativity
396,design
396,entertainment
396,fashion
396,humor
396,media
399,Planets
399,design
399,exploration
399,physics
399,robots
399,science
399,space
399,technology
399,solar system
399,Mars
399,Best of the Web
400,art
400,design
400,entertainment
400,humor
400,performance
400,simplicity
400,comedy
402,architecture
402,art
402,design
402,future
402,technology
403,Africa
403,creativity
403,culture
403,entertainment
403,film
403,global issues
403,media
403,technology
403,movies
404,astronomy
404,culture
404,dark matter
404,design
404,physics
404,science
404,space
404,technology
404,time
404,telescopes
404,Best of the Web
405,business
405,future
405,health
405,science
405,technology
406,entertainment
406,food
406,global issues
406,sustainability
406,Best of the Web
407,business
407,climate change
407,design
407,entertainment
407,global issues
407,humor
407,media
407,sex
408,aging
408,brain
408,business
408,health
408,public health
408,science
408,social change
408,technology
408,Alzheimers
409,complexity
409,exploration
409,nature
409,science
409,trees
409,writing
409,fungi
410,cities
410,communication
410,community
410,computers
410,entertainment
410,entrepreneur
410,life
410,technology
410,virtual reality
410,Best of the Web
411,alternative energy
411,cars
411,design
411,energy
411,future
411,green
411,technology
412,demo
412,design
412,entertainment
412,invention
412,technology
412,animation
413,culture
413,entertainment
413,invention
413,music
413,storytelling
413,live music
413,demo
414,creativity
414,design
414,exploration
414,play
414,art
416,animals
416,bees
416,disease
416,food
416,insects
416,life
416,nature
416,Best of the Web
418,business
418,culture
418,design
418,entertainment
418,entrepreneur
418,innovation
418,invention
418,library
418,technology
418,books
418,3D printing
419,business
419,culture
419,entertainment
419,food
419,happiness
419,writing
419,books
419,Best of the Web
420,brain
420,choice
420,culture
420,entertainment
420,goal-setting
420,happiness
420,psychology
420,self
420,society
421,Planets
421,exploration
421,extraterrestrial life
421,geology
421,life
421,science
421,technology
421,universe
421,Mars
421,solar system
422,biology
422,biomechanics
422,math
422,science
422,society
422,technology
423,children
423,computers
423,design
423,global issues
423,philanthropy
423,technology
424,business
424,culture
424,exploration
424,food
424,global issues
424,history
424,Best of the Web
426,DNA
426,biology
426,curiosity
426,history
426,microbiology
426,science
426,technology
427,computers
427,curiosity
427,design
427,technology
427,programming
427,code
427,personal growth
427,Best of the Web
428,Africa
428,animals
428,biology
428,dinosaurs
428,evolution
428,exploration
428,history
428,life
428,paleontology
429,design
429,engineering
429,invention
429,technology
429,transportation
430,design
431,beauty
431,business
431,design
431,exploration
431,photography
432,art
432,children
432,computers
432,creativity
432,design
432,entertainment
432,future
432,history
432,books
433,art
433,chemistry
433,food
433,life
433,love
433,science
433,Best of the Web
434,business
434,consumerism
434,creativity
434,shopping
435,art
435,design
435,entertainment
435,happiness
435,typography
435,Best of the Web
436,design
436,exploration
436,humor
436,photography
436,typography
437,biology
437,entrepreneur
437,food
437,genetics
437,science
437,technology
439,culture
439,future
439,global issues
439,social change
439,technology
440,dinosaurs
440,disease
440,environment
440,history
440,life
440,science
440,space
441,philanthropy
441,philosophy
441,writing
442,business
442,creativity
442,design
442,invention
